Model,TechNode,BatchSize,Subarray,MemCell,Dataflow,Latency_total,Energy_total,Throughput,Memory_Usage_MB
resnet18,7,64,128,1,OS,5.644611,1.5e-05,11.34,761.12
resnet18,45,64,256,2,WS,5.356528,1.7e-05,11.95,666.1
resnet18,7,64,64,2,IMC,5.567178,0.00013,11.5,754.77
resnet18,7,64,256,1,WS,5.292066,1.5e-05,12.09,684.69
resnet18,22,64,256,2,IMC,5.49661,0.000127,11.64,678.08
resnet18,7,64,256,2,RS,5.720608,1.4e-05,11.19,648.45
resnet18,22,64,64,1,OS,5.634619,1.6e-05,11.36,666.01
resnet18,7,64,64,1,IMC,5.832948,0.000128,10.97,652.32
resnet18,45,64,64,1,WS,5.921638,1.5e-05,10.81,665.46
resnet18,45,64,64,1,OS,5.498824,1.4e-05,11.64,641.71
resnet18,7,64,64,1,RS,6.213968,1.7e-05,10.3,683.03
resnet18,45,64,128,2,WS,5.495581,1.5e-05,11.65,686.26
resnet18,22,64,256,1,WS,5.675869,1.4e-05,11.28,678.61
resnet18,45,64,256,2,RS,5.435054,1.4e-05,11.78,649.96
resnet18,45,64,128,2,RS,5.621969,1.3e-05,11.38,641.56
resnet18,7,64,64,1,WS,5.486428,2.4e-05,11.67,653.73
resnet18,45,64,64,2,WS,5.392661,1.5e-05,11.87,678.44
resnet18,45,64,128,1,IMC,5.591497,0.000145,11.45,666.02
resnet18,45,64,256,2,OS,5.627823,1.6e-05,11.37,666.23
resnet18,45,64,128,1,RS,5.487473,1.2e-05,11.66,666.29
resnet18,7,64,256,1,RS,5.441883,1.1e-05,11.76,650.51
resnet18,22,64,128,1,WS,5.42755,1.5e-05,11.79,684.52
resnet18,7,64,256,2,WS,5.826746,1.6e-05,10.98,679.08
resnet18,45,64,64,2,IMC,5.486028,0.000144,11.67,666.09
resnet18,22,64,64,1,RS,5.577374,1.3e-05,11.47,641.59
resnet18,45,64,128,1,OS,5.603469,1.4e-05,11.42,648.58
resnet18,7,64,64,2,RS,5.547754,1.5e-05,11.54,678.38
resnet18,45,64,64,1,RS,6.407901,1.2e-05,9.99,748.67
resnet18,45,64,256,1,WS,5.627164,1.6e-05,11.37,666.27
resnet18,7,64,256,2,IMC,5.299015,0.000122,12.08,672.35
resnet18,22,64,128,2,IMC,6.141338,0.000207,10.42,678.54
resnet18,22,64,256,1,RS,5.606014,1.4e-05,11.42,647.71
resnet18,22,64,256,2,RS,5.856654,1.2e-05,10.93,652.34
resnet18,7,64,128,1,WS,5.505763,1.4e-05,11.62,672.06
resnet18,7,64,128,1,IMC,5.380075,0.000133,11.9,660.84
resnet18,7,64,256,1,OS,5.30109,1.3e-05,12.07,690.77
resnet18,45,64,256,1,IMC,5.478958,0.00013,11.68,672.45
resnet18,7,64,256,1,IMC,5.312505,0.000132,12.05,672.12
resnet18,22,64,128,2,OS,5.522043,1.5e-05,11.59,641.35
resnet18,45,64,256,1,RS,5.349706,1.5e-05,11.96,654.07
resnet18,7,64,128,2,WS,5.342753,1.5e-05,11.98,745.78
resnet18,45,64,64,2,OS,5.520636,1.7e-05,11.59,729.02
resnet18,22,64,128,1,IMC,5.601027,0.00014,11.43,679.14
resnet18,45,64,64,1,IMC,6.527366,0.000138,9.8,733.52
resnet18,7,64,128,1,RS,5.553227,1.3e-05,11.52,644.91
resnet18,22,64,128,1,OS,5.525911,1.6e-05,11.58,641.22
resnet18,7,64,128,2,RS,5.208034,1.3e-05,12.29,641.71
resnet18,7,64,64,2,WS,5.373467,1.6e-05,11.91,666.24
resnet18,45,64,128,2,OS,5.40697,1.6e-05,11.84,667.25
resnet18,45,64,128,1,ws,5.517164,1.6e-05,11.6,641.75
resnet18,7,64,256,2,OS,5.325177,1.3e-05,12.02,754.74
resnet18,22,64,64,1,IMC,5.558162,0.000132,11.51,657.27
resnet18,22,64,128,1,RS,5.587643,1.4e-05,11.45,672.57
resnet18,7,64,64,2,OS,5.392688,1.5e-05,11.87,678.2
resnet18,22,64,64,2,WS,5.672088,1.3e-05,11.28,652.19
resnet18,22,64,64,1,WS,5.517169,5.7e-05,11.6,667.15
resnet18,22,64,64,2,IMC,5.235244,0.000127,12.22,666.17
resnet18,45,64,256,1,OS,5.651419,1.5e-05,11.32,666.09
resnet18,22,64,128,2,RS,5.671215,1.2e-05,11.29,728.94
resnet18,7,64,128,2,IMC,5.333828,0.000127,12.0,673.31
resnet18,7,64,64,1,OS,5.44363,1.6e-05,11.76,653.75
resnet18,22,64,256,2,WS,5.580515,1.4e-05,11.47,654.23
resnet18,22,64,256,2,OS,5.518686,1.6e-05,11.6,678.42
resnet18,45,64,64,2,RS,5.441085,1.3e-05,11.76,666.11
resnet18,22,64,128,2,WS,5.495793,1.4e-05,11.65,653.89
resnet18,22,64,64,2,RS,5.7041,1.3e-05,11.22,667.21
resnet18,7,64,128,2,OS,5.612518,1.4e-05,11.4,690.47
resnet18,22,64,256,1,OS,5.441091,1.5e-05,11.76,678.57
resnet18,45,64,256,2,IMC,5.546786,0.000126,11.54,672.29
resnet18,22,64,64,2,OS,5.42363,1.6e-05,11.8,678.27
resnet18,45,64,128,2,IMC,5.57058,0.000127,11.49,684.63
resnet18,22,64,256,1,IMC,5.579022,0.000128,11.47,744.14
